session,block,trial,block_type,stim_id,stim_cond,stim_cond_source,stim_ang,stim_eccen,stim_xpos,stim_ypos,stim_onset,stim_dur,isi
1,6,15.0,loc,potatomasher03b,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,98.0,2.0,5.0
1,6,16.0,loc,cartonofeggs,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,105.0,2.0,4.0
1,6,17.0,loc,screw02,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,111.0,2.0,4.0
1,6,18.0,loc,microscope,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,117.0,2.0,5.0
1,6,19.0,loc,mushroom01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,124.0,2.0,5.0
1,6,20.0,loc,ladybug03,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,131.0,2.0,5.0
1,6,21.0,loc,pooltable,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,138.0,2.0,4.0
1,6,22.0,loc,hammer01,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,144.0,2.0,4.0
1,6,23.0,loc,greenolive,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,150.0,2.0,4.0
1,6,24.0,loc,laptop01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,156.0,2.0,4.0
1,7,1.0,study,giftbag01a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,0.0,2.0,4.0
1,7,2.0,study,toiletpaper01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,6.0,2.0,4.0
1,7,3.0,study,spraybottle01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,12.0,2.0,5.0
1,7,4.0,study,trafficlight,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,19.0,2.0,5.0
1,7,5.0,study,television,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,26.0,2.0,4.0
1,7,6.0,study,pepper04a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,32.0,2.0,6.0
1,7,7.0,study,bison,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,40.0,2.0,7.0
1,7,8.0,study,toothpastetube,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,49.0,2.0,4.0
1,7,9.0,study,papertowel,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,55.0,2.0,5.0
1,7,10.0,study,saintbernard,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,62.0,2.0,4.0
1,7,11.0,study,apple07,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,68.0,2.0,6.0
1,7,12.0,study,lip,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,76.0,2.0,5.0
1,7,13.0,study,centurionhelmet,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,83.0,2.0,7.0
1,7,14.0,study,aircompressor,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,92.0,2.0,6.0
1,7,15.0,study,compactpowder,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,100.0,2.0,4.0
1,7,16.0,study,cellphone,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,106.0,2.0,4.0
1,7,17.0,study,interlockingbuildingblock03b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,112.0,2.0,4.0
1,7,18.0,study,threeholepunch03,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,118.0,2.0,4.0
1,7,19.0,study,metalscissors,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,124.0,2.0,5.0
1,7,20.0,study,aceofdiamond,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,131.0,2.0,4.0
1,7,21.0,study,shoppingcart,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,137.0,2.0,4.0
1,7,22.0,study,frisbee,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,143.0,2.0,4.0
1,7,23.0,study,flyswatter,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,149.0,2.0,4.0
1,7,24.0,study,cheetah,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,155.0,2.0,5.0
1,8,1.0,recog,dresser02,new,,,2.0,,,0.0,2.0,5.0
1,8,2.0,recog,moose,new,,,2.0,,,7.0,2.0,5.0
1,8,3.0,recog,cedarwaxwing,new,,,2.0,,,14.0,2.0,4.0
1,8,4.0,recog,compactpowder,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,20.0,2.0,4.0
1,8,5.0,recog,flyswatter,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,26.0,2.0,4.0
1,8,6.0,recog,ramekin01,new,,,2.0,,,32.0,2.0,4.0
1,8,7.0,recog,leg,new,,,2.0,,,38.0,2.0,5.0
1,8,8.0,recog,snowshovel,new,,,2.0,,,45.0,2.0,4.0
1,8,9.0,recog,aircompressor,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,51.0,2.0,5.0
1,8,10.0,recog,toiletpaper01a,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,58.0,2.0,4.0
1,8,11.0,recog,giftbag01a,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,64.0,2.0,6.0
1,8,12.0,recog,metalscissors,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,72.0,2.0,6.0
1,8,13.0,recog,shoulderpad,new,,,2.0,,,80.0,2.0,6.0
1,8,14.0,recog,papertowel,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,88.0,2.0,5.0
1,8,15.0,recog,trafficlight,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,95.0,2.0,4.0
1,8,16.0,recog,television,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,101.0,2.0,4.0
1,8,17.0,recog,toothpastetube,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,107.0,2.0,4.0
1,8,18.0,recog,fryingpan02a,new,,,2.0,,,113.0,2.0,6.0
1,8,19.0,recog,aceofdiamond,old,3.0,-135.0,2.0,-1.4142135623730954,-1.414213562373095,121.0,2.0,4.0
1,8,20.0,recog,spraybottle01,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,127.0,2.0,5.0
1,8,21.0,recog,tape02a,new,,,2.0,,,134.0,2.0,7.0
1,8,22.0,recog,threeholepunch03,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,143.0,2.0,7.0
1,8,23.0,recog,linedpaper,new,,,2.0,,,152.0,2.0,5.0
1,8,24.0,recog,interlockingbuildingblock03b,old,1.0,45.0,2.0,1.4142135623730951,1.414213562373095,159.0,2.0,4.0
1,8,25.0,recog,turnip,new,,,2.0,,,165.0,2.0,6.0
1,8,26.0,recog,monitor,new,,,2.0,,,173.0,2.0,4.0
1,8,27.0,recog,frisbee,old,4.0,-45.0,2.0,-1.414213562373095,1.4142135623730951,179.0,2.0,4.0
1,8,28.0,recog,granolabar01,new,,,2.0,,,185.0,2.0,4.0
1,8,29.0,recog,fridge,new,,,2.0,,,191.0,2.0,4.0
1,8,30.0,recog,bison,old,2.0,135.0,2.0,1.4142135623730951,-1.414213562373095,197.0,2.0,4.0
1,8,31.0,recog,dromedary,new,,,2.0,,,203.0,2.0,5.0
